Id|ExportNaarOrafin|Naam|VerantwoordelijkeAutoriteitCode|status uit ipdc
DVR000000318|True|Ondersteunende en intermediaire organisaties - uitkeringen in natura aan gezinnen: vrijetijdsorganisaties|OVO000060|actief
DVR000000319|True|Ondersteunende en intermediaire organisaties - uitkeringen in natura aan gezinnen: DOP|OVO000060|actief
DVR000000320|True|Ondersteunende en intermediaire organisaties - uitkeringen in natura aan gezinnen: COS|OVO000060|actief
DVR000000321|True|Aanvullende financieringsvormen - uitkeringen in natura aan gezinnen: maatregelen ikv. de transitie|OVO000060|actief
DVR000000322|True|Aanvullende financieringsvormen - uitkeringen in natura aan gezinnen: gesco's|OVO000060|actief
DVR000000323|True|Aanvullende financieringsvormen - uitkeringen in natura aan gezinnen: interne staatshervorming|OVO000060|actief
DVR000000326|True|Aanduiding buitenlandse presentatieplek|OVO000067|actief
DVR000000327|True|Aanduiding buitenlandse residentieplek|OVO000067|actief
DVR000000328|True|Aankopen Topstukken|OVO000166|actief
DVR000000329|True|Restauratiesubsidie Topstukkendecreet|OVO000166|actief
DVR000000330|True|Aanpassingen samenwerkingsverbanden radio omroepen|OVO000067|actief
DVR000000331|True|Aanvraag voor een tegemoetkoming in de reis- en verblijfskosten voor internationale initiatieven|OVO000067|actief
DVR000000332|True|Ad nominatim subsidies|OVO000067|actief
DVR000000333|True|Andere Amateurkunstendecreet Punctuele tussenkomst in reiskosten|OVO000067|actief
DVR000000334|True|Andere Lokaal Cultuurbeleid Bibliotheekwerking Brusselse gemeenten Subsidie bibliotheekportalen|OVO000067|actief
DVR000000335|True|Andere Reglement internationale initiatieven|OVO000067|actief
DVR000000336|True|Beurs Circusdecreet Bijscholing en opleiding circuskunstenaars Beurzen internationale bijscholing|OVO000067|actief
DVR000000337|True|Beurs Circusdecreet Bijscholing en opleiding circuskunstenaars Deelname aan opleidingen tot docent|OVO000067|actief
DVR000000338|True|Beurzen voor living human treasures (werktitel)|OVO000067|actief
DVR000000339|True|Bilateraal werkprogramma Duitstalige Gemeenschap|OVO000067|actief
DVR000000340|True|Bilateraal werkprogramma Franse Gemeenschap|OVO000067|actief
DVR000000341|True|Bilateraal werkprogramma Hauts-de-France|OVO000067|actief
DVR000000342|True|Bilateraal werkprogramma Québec|OVO000067|actief
DVR000000343|True|CAO podiumkunsten (verbeteren arbeidsomstandigheden kunstenaars-werknemers)|OVO000067|actief
DVR000000344|True|Continuering werking provincies - instellingen|OVO000067|actief
DVR000000345|True|Continuering werking provincies - structurele subsidies|OVO000067|actief
DVR000000346|True|Culturele projecten (algemeen afgevaardigden van de VR)|OVO000067|actief
DVR000000347|True|DAC's Jeugd|OVO000067|actief
DVR000000348|True|DAC's Kunsten|OVO000067|actief
DVR000000349|True|Decreet Jeugdverblijfcentra ondersteuningsstructuren vzw Centrum voor jeugdtoerisme|OVO000067|actief
DVR000000350|True|Decreet Jeugdverblijfcentra ondersteuningsstructuren vzw Vlaamse Jeugdherbergen|OVO000067|actief
DVR000001349|True|Decreet Vlaamse Gebarentaal erkenning Vlaams Gebarentaalcentrum|OVO000067|actief
DVR000001350|True|Decreet Vlaamse Gebarentaal projecten VGT|OVO000067|actief
DVR000001351|True|Dotatie VFL (subsidie voor het geheel van de werking)|OVO000067|actief
DVR000001352|True|Energielening voor het plaatsen van fotovoltaïsche installaties bij Cultuur en Jeugd|OVO000067|actief
DVR000001353|True|Enveloppe Decreet Jeugdverblijfcentra Jeugdverblijfcentra, Hostels, ondersteuningsstructuren en de vzw ADJ Subsidiëring van ADJ, CJT en VJH|OVO000067|actief
DVR000001354|True|Enveloppe Decreet lokaal Jeugdbeleid Subsidie VGC|OVO000067|actief
DVR000001355|True|Enveloppe Decreet lokaal Jeugdbeleid subsidies Randgemeenten|OVO000067|actief
DVR000001356|True|Enveloppe Decreet Vernieuwd Vlaams jeugd en kinderrechtenbeleid subsidies cultuur educatieve verenigingen|OVO000067|actief
DVR000001357|True|Enveloppe Decreet Vernieuwd Vlaams jeugd en kinderrechtenbeleid Subsidies landelijk georganiseerd jeugdwerk|OVO000067|actief
DVR000001358|True|Enveloppe Decreet Vernieuwd Vlaams jeugd en kinderrechtenbeleid subsidies verenigingen participatie en informatie|OVO000067|actief
